Timestamp,Raw_RTT_ms
1.01379,13
1.0143,11
1.0143,10
1.01431,9
1.01431,8
1.01431,7
1.0149,6
1.0149,5
1.01491,4
1.01491,4
1.01491,3
1.01491,3
1.01491,2
1.01492,2
1.01492,2
1.0157,2
1.0157,1
1.0157,1
1.0157,1
1.01571,1
1.01571,1
1.01571,1
1.01571,1
1.01571,1
1.01572,1
1.01572,1
1.01572,1
1.01572,1
1.01572,1
1.01573,1
1.01573,1
1.01573,1
1.01573,1
1.01687,1
1.01688,1
1.01688,1
1.01688,1
1.01688,1
1.01688,1
1.01689,1
1.01689,1
1.01689,1
1.01689,1
1.01689,1
1.0169,1
1.0169,1
1.0169,1
1.0169,1
1.0169,1
1.01691,1
1.01691,1
1.01691,1
1.01691,1
1.01691,1
1.01692,1
1.01692,1
1.01692,1
1.01692,1
1.01692,1
1.01693,1
1.01693,1
1.01693,1
1.01693,1
1.01693,1
1.01694,1
1.01852,1
1.01852,1
1.01852,1
1.01853,1
1.01853,1
1.01853,1
1.01853,1
1.01853,1
1.01854,1
1.01854,1
1.01854,1
1.01854,1
1.01854,1
1.01855,1
1.01855,1
1.01855,1
1.01855,1
1.01855,1
1.01856,1
1.01856,1
1.01856,1
1.01856,1
1.01856,1
1.01857,1
1.01857,1
1.01857,1
1.01857,1
1.01857,1
1.01858,1
1.01858,1
1.01858,1
1.01858,1
1.01858,1
1.01859,1
1.01859,1
1.01859,1
1.01859,1
1.01859,1
1.02013,1
1.02014,1
1.02014,1
1.02014,1
1.02014,1
1.02014,1
1.02015,1
1.02015,1
1.02015,1
1.02015,1
1.02015,1
1.02016,1
1.02016,1
1.02016,1
1.02016,1
1.02016,1
1.02017,1
1.02017,1
1.02017,1
1.02017,1
1.02017,1
1.02018,1
1.02018,1
1.02018,1
1.02018,1
1.02018,1
1.02019,1
1.02019,1
1.02019,1
1.02019,1
1.02019,1
1.0202,1
1.0218,1
1.02181,1
1.02181,1
1.02181,1
1.02181,1
1.02181,1
1.02182,1
1.02182,1
1.02182,1
1.02182,1
1.02182,1
1.02183,1
1.02183,1
1.02183,1
1.02183,1
1.02183,1
1.02184,1
1.02184,1
1.02184,1
1.02184,1
1.02184,1
1.02185,1
1.02185,1
1.02185,1
1.02185,1
1.02185,1
1.02186,1
1.02186,1
1.02186,1
1.02186,1
1.02186,1
1.02187,1
1.02512,1
1.02512,1
1.02513,2
1.02513,2
1.02513,2
1.02513,3
1.02513,3
1.02514,3
1.02514,3
1.02514,3
1.02514,3
1.02514,3
1.02515,3
1.02515,3
1.02515,3
1.02515,3
1.02515,3
1.02516,3
1.02516,3
1.02516,3
1.02516,3
1.02516,3
1.02516,3
1.02517,3
1.02517,3
1.02517,3
1.02517,3
1.02517,3
1.02518,3
1.02518,3
1.02518,3
1.02518,3
1.02636,4
1.02636,4
1.02637,4
1.02637,4
1.02637,4
1.02637,4
1.02637,4
1.02638,4
1.02638,4
1.02638,4
1.02638,4
1.02639,4
1.02639,4
1.02639,3
1.02639,3
1.02639,3
1.0264,2
1.0264,2
1.0264,2
1.0264,2
1.02641,2
1.02641,1
1.02641,1
1.02641,1
1.02641,1
1.02642,1
1.02642,1
1.02642,1
1.02642,1
1.02643,1
1.02643,1
1.02643,1
1.02758,1
1.02758,1
1.02759,1
1.02759,1
1.02759,1
1.02759,1
1.02759,1
1.0276,1
1.0276,1
1.0276,1
1.0276,1
1.0276,1
1.02761,1
1.02761,1
1.02761,1
1.02761,1
1.02761,1
1.02762,1
1.02762,1
1.02762,1
1.02762,1
1.02762,1
1.02763,1
1.02763,1
1.02763,1
1.02763,1
1.02763,1
1.02764,1
1.02764,1
1.02764,1
1.02764,1
1.02764,1
1.03046,1
1.03046,1
1.03046,2
1.03047,2
1.03047,2
1.03047,2
1.03047,2
1.03047,2
1.03048,3
1.03048,3
1.03048,3
1.03048,3
1.03048,3
1.03049,3
1.03049,3
1.03049,3
1.03049,3
1.03049,3
1.0305,3
1.0305,3
1.0305,3
1.0305,3
1.0305,3
1.03051,3
1.03051,3
1.03051,3
1.03051,3
1.03051,3
1.03052,3
1.03052,3
1.03052,3
1.03052,3
1.03052,3
1.03053,3
1.03053,3
1.03053,3
1.03053,3
1.03053,3
1.03054,3
1.03054,3
1.03054,3
1.03054,3
1.03054,3
1.03055,3
1.03055,3
1.03055,3
1.03055,3
1.03055,3
1.03177,2
1.03177,2
1.03177,2
1.03177,2
1.03178,2
1.03178,1
1.03178,1
1.03178,1
1.03178,1
1.03179,1
1.03179,1
1.03179,1
1.03179,1
1.03179,1
1.0318,1
1.0318,1
1.0318,1
1.0318,1
1.0318,1
1.03181,1
1.03181,1
1.03181,1
1.03181,1
1.03181,1
1.03182,1
1.03182,1
1.03182,1
1.03182,1
1.03182,1
1.03183,1
1.03183,1
1.03183,1
1.03401,1
1.03401,1
1.03402,2
1.03402,2
1.03402,2
1.03402,2
1.03402,2
1.03403,2
1.03403,3
1.03403,3
1.03403,3
1.03403,3
1.03404,3
1.03404,3
1.03404,3
1.03404,3
1.03404,3
